Index,AnonymSite,Sampling_date,Plot_ID,Treatment,Lat,Long,Soil_temp,Soil_fresh_mass,Soil_dry_mass,Soil_moisture,Soil_sample_volume,Soil_bulk_density,Soil_pH,Soil_ammonium,Soil_nitrate,AGB_grasses,Total_AGB,AGB_forbs,AGB_rushes,Sample_ID,Accuracy,Plant_cover,Grasses,Rushes,Forbs,Ferns
0,SiteA,29/07/2021,ND121U,['Under'],50.330283,-4.034083,16,256.65,202.84,0.265282982,196.35,1.033053221,5.67,1.23,60.49,7.89,7.89,['Nil'],['Nil'],121,3,75,100,0,0,0
1,SiteA,29/07/2021,ND122U,['Under'],50.329333,-4.033583,16.3,256.86,202.62,0.267693219,196.35,1.031932773,5.81,1.28,80.39,9.45,9.72,['0.27'],['Nil'],122,3,90,90,0,10,0
2,SiteA,29/07/2021,ND123U,['Under'],50.3286,-4.0316,16.3,338.26,271.38,0.246444101,196.35,1.382123759,6.06,1.11,57.01,9.76,9.76,['Nil'],['Nil'],123,3,50,100,0,0,0
3,SiteA,29/07/2021,ND124U,['Under'],50.327983,-4.034033,16.6,277.89,240.95,0.153309815,196.35,1.227145404,6.55,1.85,66.79,14.92,16.22,['1.3'],['Nil'],124,3,95,90,0,5,5
4,SiteA,29/07/2021,ND125B,['Between'],50.3301,-4.03305,17.4,256.06,201.55,0.270453982,196.35,1.026483321,5.67,2.22,130.52,10.76,10.76,['Nil'],['Nil'],125,3,50,100,0,0,0
5,SiteA,29/07/2021,ND126B,['Between'],50.3296,-4.034,16.9,274.12,215.2,0.273791822,196.35,1.096002037,5.4,2.44,106.49,12.57,12.57,['Nil'],['Nil'],126,3,90,100,0,0,0
6,SiteA,29/07/2021,ND127B,['Between'],50.3289,-4.03145,16.9,286.53,217.21,0.319138161,196.35,1.106238859,6.62,2.07,88.7,49.33,49.33,['Nil'],['Nil'],127,3,80,100,0,0,0
7,SiteA,29/07/2021,ND128B,['Between'],50.32775,-4.033483,18.6,206.78,157.52,0.312722194,196.35,0.802240896,6.27,2.29,45.47,15.79,21.82,['6.03'],['Nil'],128,3,100,30,0,70,0
8,SiteA,29/07/2021,ND129C,['Control'],50.33095,-4.034,18.1,211.73,173.44,0.220767989,196.35,0.883320601,5.35,9.23,139.47,17.12,17.82,['0.7'],['Nil'],129,3,90,90,0,10,0
9,SiteA,29/07/2021,ND130C,['Control'],50.328583,-4.031017,17.6,235.25,185.52,0.268057352,196.35,0.944843392,7.24,4.02,22.3,26.14,40.08,['13.94'],['Nil'],130,3,100,70,0,30,0
10,SiteA,29/07/2021,ND131C,['Control'],50.327233,-4.033233,19.6,222.96,178.16,0.251459362,196.35,0.907359307,7.16,9.62,111.87,16.96,24.06,['7.1'],['Nil'],131,3,100,30,0,70,0
11,SiteA,29/07/2021,ND132C,['Control'],50.327483,-4.032533,19.5,272.17,229.26,0.187167408,196.35,1.167608862,7.1,2.92,126.42,18.66,32.7,['13.85'],['0.19'],132,3,100,30,0,70,0
12,SiteC,25/08/2021,VW241U,['Under'],50.866967,-1.890883,15.2,239.48,204.22,0.172656939,196.35,1.040081487,7.8,13.89,44.5,12.83,12.83,['Nil'],['Nil'],241,3,90,100,0,0,0
13,SiteC,25/08/2021,VW242U,['Under'],50.867067,-1.883533,15.2,238.94,212.55,0.124159021,196.35,1.08250573,7.41,8.48,45.78,7.51,7.51,['Nil'],['Nil'],242,3,50,100,0,0,0
14,SiteC,25/08/2021,VW243U,['Under'],50.865283,-1.887517,15.4,226.43,181.62,0.246723929,196.35,0.924980901,7.46,14.58,55.47,5.38,5.38,['Nil'],['Nil'],243,3,90,100,0,0,0
15,SiteC,25/08/2021,VW244U,['Under'],50.863233,-1.881217,15.3,278.83,211.89,0.315918637,196.35,1.079144385,7.59,10.41,55.33,11.68,11.68,['Nil'],['Nil'],244,3,100,100,0,0,0
16,SiteC,25/08/2021,VW245B,['Between'],50.865567,-1.889317,16.3,279.59,197.95,0.412427381,196.35,1.008148714,6.85,16.48,48.09,7.75,10.11,['2.36'],['Nil'],245,3,70,30,0,70,0
17,SiteC,25/08/2021,VW246B,['Between'],50.866983,-1.885867,16.1,239.13,205.61,0.16302709,196.35,1.047160682,7.45,3.86,17.6,27.33,27.33,['Nil'],['Nil'],246,3,100,100,0,0,0
18,SiteC,25/08/2021,VW247B,['Between'],50.864233,-1.883883,16.8,210.6,142.73,0.475513207,196.35,0.726916221,6.23,3.59,117.85,4.8,8.67,['3.87'],['Nil'],247,3,90,5,0,95,0
19,SiteC,25/08/2021,VW248B,['Between'],50.86365,-1.878817,16.1,217.51,177.33,0.226583206,196.35,0.903132162,6.87,2.47,34,15.07,17.14,['2.07'],['Nil'],248,3,90,40,0,60,0
20,SiteC,25/08/2021,VW249C,['Control'],50.866367,-1.879133,19.3,174.51,153.56,0.136428757,196.35,0.782072829,6.83,2.08,15.57,13.82,23.95,['10.13'],['Nil'],249,3,80,20,0,80,0
21,SiteC,25/08/2021,VW250C,['Control'],50.865067,-1.8788,18.7,174.44,154.46,0.129353878,196.35,0.786656481,6.45,11.71,66.63,14.2,14.2,['Nil'],['Nil'],250,3,100,50,0,50,0
22,SiteC,25/08/2021,VW251C,['Control'],50.86235,-1.874867,19.3,238.54,201.1,0.186176032,196.35,1.024191495,7.25,7.2,7.01,11.67,13.76,['2.09'],['Nil'],251,3,100,70,0,30,0
23,SiteC,25/08/2021,VW252C,['Control'],50.8634,-1.875267,20.7,231.76,215.02,0.077853223,196.35,1.095085307,6.92,2.85,11.27,20.16,20.26,['0.1'],['Nil'],252,3,60,100,0,0,0