sitevalue,authorname,methodname,weight,unit
SiteA,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteA,Hollie Blaydes,Transect,1.20E+01,kg
SiteC,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteC,Hollie Blaydes,Transect,1.20E+01,kg
SiteB,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteB,Hollie Blaydes,Transect,1.20E+01,kg
SiteD,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteD,Hollie Blaydes,Transect,1.20E+01,kg
SiteE,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteE,Hollie Blaydes,Transect,1.20E+01,kg
SiteG,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteG,Hollie Blaydes,Transect,1.20E+01,kg
SiteF,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteF,Hollie Blaydes,Transect,1.20E+01,kg
SiteI,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteI,Hollie Blaydes,Transect,1.20E+01,kg
SiteH,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteH,Hollie Blaydes,Transect,1.20E+01,kg
SiteJ,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteJ,Hollie Blaydes,Transect,1.20E+01,kg
SiteK,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteK,Hollie Blaydes,Transect,1.20E+01,kg
SiteL,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteL,Hollie Blaydes,Transect,1.20E+01,kg
SiteM,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteM,Hollie Blaydes,Transect,1.20E+01,kg
SiteN,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteN,Hollie Blaydes,Transect,1.20E+01,kg
SiteO,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteO,Hollie Blaydes,Transect,1.20E+01,kg
SiteP,Hollie Blaydes,Quadrat,1.20E+01,kg
SiteP,Hollie Blaydes,Transect,1.20E+01,kg