sitevalue,date,obsValue,polarity,subjectivity,honeyhives,sheep,siteinfo,plots
SiteA,2021-07-14,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-07-14,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-07-14,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-08-17,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-08-17,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-08-17,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-09-16,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-09-16,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteA,2021-09-16,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.0E-1,3.8E-1,No,Yes,,
SiteB,2021-08-17,Grass uncut and very long everywhere,-2.8E-1,6.6E-1,No,No,,
SiteB,2021-08-17,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.6E-1,3.2E-1,No,No,,
SiteB,2021-08-17,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.0E0,3.2E-1,No,No,,
SiteB,2021-07-15,Grass uncut and very long everywhere,-2.8E-1,6.6E-1,No,No,,
SiteB,2021-07-15,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.6E-1,3.2E-1,No,No,,
SiteB,2021-07-15,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.0E0,3.2E-1,No,No,,
SiteB,2021-09-17,Grass uncut and very long everywhere,-2.8E-1,6.6E-1,No,No,,
SiteB,2021-09-17,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.6E-1,3.2E-1,No,No,,
SiteB,2021-09-17,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.0E0,3.2E-1,No,No,,
SiteC,2021-09-16,"Grass uncut in some fields and cut in others, very variable across the site",-1.5E-1,5.5E-1,Yes,No,,
SiteC,2021-09-16,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.0E-2,3.2E-1,Yes,No,,
SiteC,2021-09-16,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.0E-2,2.6E-1,Yes,No,,
SiteC,2021-07-15,"Grass uncut in some fields and cut in others, very variable across the site",-1.5E-1,5.5E-1,Yes,No,,
SiteC,2021-07-15,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.0E-2,3.2E-1,Yes,No,,
SiteC,2021-07-15,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.0E-2,2.6E-1,Yes,No,,
SiteC,2021-08-19,"Grass uncut in some fields and cut in others, very variable across the site",-1.5E-1,5.5E-1,Yes,No,,
SiteC,2021-08-19,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.0E-2,3.2E-1,Yes,No,,
SiteC,2021-08-19,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.0E-2,2.6E-1,Yes,No,,
SiteD,2021-07-16,"Grass uncut and long, especially in the margins",-1.8E-1,7.3E-1,No,No,,
SiteD,2021-07-16,Grass cut in one field but seemed uncut and long in other areas and margins,-2.2E-1,5.2E-1,No,No,,
SiteD,2021-07-16,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.7E-1,1.7E-1,No,No,,
SiteD,2021-08-18,"Grass uncut and long, especially in the margins",-1.8E-1,7.3E-1,No,No,,
SiteD,2021-08-18,Grass cut in one field but seemed uncut and long in other areas and margins,-2.2E-1,5.2E-1,No,No,,
SiteD,2021-08-18,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.7E-1,1.7E-1,No,No,,
SiteD,2021-09-20,"Grass uncut and long, especially in the margins",-1.8E-1,7.3E-1,No,No,,
SiteD,2021-09-20,Grass cut in one field but seemed uncut and long in other areas and margins,-2.2E-1,5.2E-1,No,No,,
SiteD,2021-09-20,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.7E-1,1.7E-1,No,No,,
SiteE,2021-07-16,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.0E0,7.0E-2,No,No,,
SiteE,2021-07-16,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.3E-1,3.6E-1,No,No,,
SiteE,2021-07-16,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.0E-1,7.2E-1,No,No,,
SiteE,2021-08-18,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.0E0,7.0E-2,No,No,,
SiteE,2021-08-18,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.3E-1,3.6E-1,No,No,,
SiteE,2021-08-18,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.0E-1,7.2E-1,No,No,,
SiteE,2021-09-20,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.0E0,7.0E-2,No,No,,
SiteE,2021-09-20,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.3E-1,3.6E-1,No,No,,
SiteE,2021-09-20,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.0E-1,7.2E-1,No,No,,
SiteF,2021-07-19,"Grass cut (but flowers beginning to grow back), areas left uncut near the entrance and front of the site",-1.0E-1,3.0E-1,No,No,,
SiteG,2021-07-19,"Grass grazed very short in areas, but patches left slightly longer",-6.0E-2,1.9E-1,No,Yes,,
SiteG,2021-07-19,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.0E-2,2.6E-1,No,Yes,,
SiteG,2021-07-19,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.0E0,2.8E-1,No,No,,
SiteG,2021-08-20,"Grass grazed very short in areas, but patches left slightly longer",-6.0E-2,1.9E-1,No,Yes,,
SiteG,2021-08-20,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.0E-2,2.6E-1,No,Yes,,
SiteG,2021-08-20,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.0E0,2.8E-1,No,No,,
SiteG,2021-09-21,"Grass grazed very short in areas, but patches left slightly longer",-6.0E-2,1.9E-1,No,Yes,,
SiteG,2021-09-21,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.0E-2,2.6E-1,No,Yes,,
SiteG,2021-09-21,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.0E0,2.8E-1,No,No,,
SiteH,2021-07-21,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.1E-1,7.5E-1,No,No,,
SiteH,2021-07-21,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.0E-2,3.4E-1,No,No,,
SiteH,2021-07-21,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.0E-2,2.7E-1,No,No,,
SiteH,2021-08-24,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.1E-1,7.5E-1,No,No,,
SiteH,2021-08-24,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.0E-2,3.4E-1,No,No,,
SiteH,2021-08-24,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.0E-2,2.7E-1,No,No,,
SiteH,2021-09-23,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.1E-1,7.5E-1,No,No,,
SiteH,2021-09-23,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.0E-2,3.4E-1,No,No,,
SiteH,2021-09-23,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.0E-2,2.7E-1,No,No,,
SiteI,2021-07-21,Grass not cut recently,0.0E0,2.5E-1,No,No,,
SiteI,2021-07-21,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteI,2021-07-21,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteI,2021-08-24,Grass not cut recently,0.0E0,2.5E-1,No,No,,
SiteI,2021-08-24,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteI,2021-08-24,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteI,2021-09-23,Grass not cut recently,0.0E0,2.5E-1,No,No,,
SiteI,2021-09-23,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteI,2021-09-23,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.0E-2,1.2E-1,No,No,,
SiteJ,2021-07-22,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.6E-1,3.7E-1,No,No,,
SiteJ,2021-07-22,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.1E-1,3.5E-1,No,No,,
SiteJ,2021-07-22,"Vegetation similar to July and August, still very boggy",1.0E-1,3.5E-1,No,No,,
SiteJ,2021-08-23,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.6E-1,3.7E-1,No,No,,
SiteJ,2021-08-23,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.1E-1,3.5E-1,No,No,,
SiteJ,2021-08-23,"Vegetation similar to July and August, still very boggy",1.0E-1,3.5E-1,No,No,,
SiteJ,2021-09-22,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.6E-1,3.7E-1,No,No,,
SiteJ,2021-09-22,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.1E-1,3.5E-1,No,No,,
SiteJ,2021-09-22,"Vegetation similar to July and August, still very boggy",1.0E-1,3.5E-1,No,No,,
SiteK,2021-07-23,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.0E-2,5.7E-1,No,No,,
SiteK,2021-07-23,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.0E-2,4.6E-1,No,No,,
SiteK,2021-07-23,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.3E-1,1.9E-1,No,No,,
SiteK,2021-08-26,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.0E-2,5.7E-1,No,No,,
SiteK,2021-08-26,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.0E-2,4.6E-1,No,No,,
SiteK,2021-08-26,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.3E-1,1.9E-1,No,No,,
SiteK,2021-09-27,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.0E-2,5.7E-1,No,No,,
SiteK,2021-09-27,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.0E-2,4.6E-1,No,No,,
SiteK,2021-09-27,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.3E-1,1.9E-1,No,No,,
SiteL,2021-07-26,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-07-26,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-07-26,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.0E-2,4.4E-1,No,No,,
SiteL,2021-08-25,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-08-25,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-08-25,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.0E-2,4.4E-1,No,No,,
SiteL,2021-09-24,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-09-24,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.6E-1,3.2E-1,No,No,,
SiteL,2021-09-24,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.0E-2,4.4E-1,No,No,,
SiteA,,,,,,,"['Overgrown_vegetation;_rabbits_seen_on_site;_PVC_corer_used_for_soil_sampling;_last_two_control_plots_sampled_from_wildflower_meadow_south_of_small_site'
 'Nil']","['ND121U' 'ND122U' 'ND123U' 'ND124U' 'ND125B' 'ND126B' 'ND127B' 'ND128B'
 'ND129C' 'ND130C' 'ND131C' 'ND132C']"
SiteC,,,,,,,"['Deer_seen_on_site;_abundant_Urtica_under_panels_in_places,_especially_in_field_1;_control_samples_collected_from_adjacent_land_outside_the_fenced_area_(pastureland?);_PVC_corer_used'
 'Nil']","['VW241U' 'VW242U' 'VW243U' 'VW244U' 'VW245B' 'VW246B' 'VW247B' 'VW248B'
 'VW249C' 'VW250C' 'VW251C' 'VW252C']"
