sitename,date,time,transect,transectGPS,airtemperature,windspeed,species,plotid,treatment,lat,long,soiltemp,soil_fresh_mass,soil_dry_mass,soil_moisture,soil_sample_volume,soil_bulk_density,soil_ph,soil_ammonium,soil_nitrate,agb_grasses,total_agb,agb_forbs,agb_rushes,sample_id,accuracy,plant_cover,grasses,rushes,forbs,ferns
SiteA,14/07/2021,PM,1,SY9333793767,2.56E+01,3.00E+00,Marbled_white,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,2,SY9336393815,2.56E+01,7.00E-01,Meadow_brown,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,3,SY9340693840,2.70E+01,2.40E+00,Meadow_brown,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,3,SY9340693840,2.70E+01,2.40E+00,Cannot_ID_hoverfly,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,4,SY9342593864,2.66E+01,1.80E+00,Meadow_brown,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,5,SY9341593887,2.68E+01,2.10E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,6,SY9319793898,2.69E+01,1.10E+00,Cannot_ID_moth,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,7,SY9318893893,3.03E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,8,SY9318193881,2.96E+01,7.00E-01,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,9,SY9315293840,2.99E+01,0.00E+00,Large_white,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,9,SY9315293840,2.99E+01,0.00E+00,Meadow_brown,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,9,SY9315293840,2.99E+01,0.00E+00,Cannot_ID_moth,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,9,SY9315293840,2.99E+01,0.00E+00,Meadow_brown,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,14/07/2021,PM,10,SY9312893808,2.66E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,1,SY3332693768,1.65E+01,1.30E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,2,SY9335793811,1.78E+01,1.90E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,3,SY9340493839,1.60E+01,2.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,4,SY9341893863,1.66E+01,1.90E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,5,SY9340993887,1.69E+01,2.50E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,6,SY9319093896,1.96E+01,7.00E-01,Gatekeeper,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,7,SY9319193889,1.85E+01,1.30E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,8,SY9317993882,2.19E+01,1.70E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,9,SY9315293840,1.91E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,17/08/2021,AM,10,SY9312693812,2.22E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,1,SY9331993768,2.30E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,2,SY9334793811,2.15E+01,1.00E+00,Red_admiral,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,3,SY9339493839,2.31E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,4,SY9341893863,2.07E+01,7.00E-01,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,5,SY9340493885,2.26E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,6,SY9320593890,2.19E+01,8.00E-01,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,7,SY9319393895,2.40E+01,8.00E-01,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,8,SY9318493879,2.35E+01,1.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,9,SY9315293843,2.74E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,16/09/2021,AM,10,SY9314393827,2.35E+01,0.00E+00,No_pollinators_recorded,,,,,,,,,,,,,,,,,,,,,,,,
SiteA,,,,,,,,ND121U,['Under'],5.03E+01,-4.03E+00,1.60E+01,2.57E+02,2.03E+02,2.65E-01,1.96E+02,1.03E+00,5.67E+00,1.23E+00,6.05E+01,7.89E+00,7.89E+00,['Nil'],['Nil'],121,3,75,100,0,0,0
SiteA,,,,,,,,ND122U,['Under'],5.03E+01,-4.03E+00,1.63E+01,2.57E+02,2.03E+02,2.68E-01,1.96E+02,1.03E+00,5.81E+00,1.28E+00,8.04E+01,9.45E+00,9.72E+00,['0.27'],['Nil'],122,3,90,90,0,10,0
SiteA,,,,,,,,ND123U,['Under'],5.03E+01,-4.03E+00,1.63E+01,3.38E+02,2.71E+02,2.46E-01,1.96E+02,1.38E+00,6.06E+00,1.11E+00,5.70E+01,9.76E+00,9.76E+00,['Nil'],['Nil'],123,3,50,100,0,0,0
SiteA,,,,,,,,ND124U,['Under'],5.03E+01,-4.03E+00,1.66E+01,2.78E+02,2.41E+02,1.53E-01,1.96E+02,1.23E+00,6.55E+00,1.85E+00,6.68E+01,1.49E+01,1.62E+01,['1.3'],['Nil'],124,3,95,90,0,5,5
SiteA,,,,,,,,ND125B,['Between'],5.03E+01,-4.03E+00,1.74E+01,2.56E+02,2.02E+02,2.70E-01,1.96E+02,1.03E+00,5.67E+00,2.22E+00,1.31E+02,1.08E+01,1.08E+01,['Nil'],['Nil'],125,3,50,100,0,0,0
SiteA,,,,,,,,ND126B,['Between'],5.03E+01,-4.03E+00,1.69E+01,2.74E+02,2.15E+02,2.74E-01,1.96E+02,1.10E+00,5.40E+00,2.44E+00,1.06E+02,1.26E+01,1.26E+01,['Nil'],['Nil'],126,3,90,100,0,0,0
SiteA,,,,,,,,ND127B,['Between'],5.03E+01,-4.03E+00,1.69E+01,2.87E+02,2.17E+02,3.19E-01,1.96E+02,1.11E+00,6.62E+00,2.07E+00,8.87E+01,4.93E+01,4.93E+01,['Nil'],['Nil'],127,3,80,100,0,0,0
SiteA,,,,,,,,ND128B,['Between'],5.03E+01,-4.03E+00,1.86E+01,2.07E+02,1.58E+02,3.13E-01,1.96E+02,8.02E-01,6.27E+00,2.29E+00,4.55E+01,1.58E+01,2.18E+01,['6.03'],['Nil'],128,3,100,30,0,70,0
SiteA,,,,,,,,ND129C,['Control'],5.03E+01,-4.03E+00,1.81E+01,2.12E+02,1.73E+02,2.21E-01,1.96E+02,8.83E-01,5.35E+00,9.23E+00,1.39E+02,1.71E+01,1.78E+01,['0.7'],['Nil'],129,3,90,90,0,10,0
SiteA,,,,,,,,ND130C,['Control'],5.03E+01,-4.03E+00,1.76E+01,2.35E+02,1.86E+02,2.68E-01,1.96E+02,9.45E-01,7.24E+00,4.02E+00,2.23E+01,2.61E+01,4.01E+01,['13.94'],['Nil'],130,3,100,70,0,30,0
SiteA,,,,,,,,ND131C,['Control'],5.03E+01,-4.03E+00,1.96E+01,2.23E+02,1.78E+02,2.51E-01,1.96E+02,9.07E-01,7.16E+00,9.62E+00,1.12E+02,1.70E+01,2.41E+01,['7.1'],['Nil'],131,3,100,30,0,70,0
SiteA,,,,,,,,ND132C,['Control'],5.03E+01,-4.03E+00,1.95E+01,2.72E+02,2.29E+02,1.87E-01,1.96E+02,1.17E+00,7.10E+00,2.92E+00,1.26E+02,1.87E+01,3.27E+01,['13.85'],['0.19'],132,3,100,30,0,70,0